No,"企業名称","届出書受付開始日","提携先名称"
1,"TSUTAYA・蔦屋書店","2014/10/20","提携先：TSUTAYAフランチャイズチェーン加盟企業"
2,"ＪＸ日鉱日石エネルギー株式会社","2014/10/20","提携先：ENEOS"
3,"株式会社アプラス","2014/10/20","提携サービス：Tカードプラス， Tカードプラスα，TSUTAYAWカード"
4,"株式会社Ｍｉｓｕｍｉ","2014/10/20","提携先：BOOKSmisumi，Misumiグループ（ガス・水）"
5,"ＪＲ九州ドラッグイレブン株式会社","2014/10/20","提携先：ドラッグイレブン"
6,"株式会社キタムラ","2014/10/20","提携先：カメラのキタムラ，スタジオマリオ"
7,"株式会社東急ホテルズ","2014/10/20","提携先：東急ホテルズ"
8,"ＹＫＫ　ＡＰ株式会社","2014/10/20","提携先：MADOショップ(YKK AP対象商品)"
9,"株式会社アマナイメージズ","2014/10/20","提携先：amanaimages.com，アマナイメージズRF，TAGSTOCK"
10,"株式会社エルティヴィー","2014/10/20","提携先：L-club"
11,"ニッポンレンタカーサービス株式会社","2014/10/20","提携先：ニッポンレンタカー"
12,"株式会社大屋","2014/10/20","提携先：ドラッグストアmac"
13,"キリンビバレッジ株式会社","2014/10/20","提携先：キリンビバレッジ飲料自動販売機"
14,"アクセスプリペイドジャパン株式会社","2014/10/20","提携サービス：キャッシュパスポート"
15,"株式会社レッドキャベツ","2014/10/20","提携先：レッドキャベツ"
16,"青山商事株式会社","2014/10/20","提携先：洋服の青山,THE SUIT COMPANY,NEXT BLUE，キャラジャ"
17,"株式会社すかいらーく","2014/10/20","提携先：ガスト,おはしガスト,バーミヤン,夢庵,藍屋,グラッチェガーデンズ　など"
18,"全日信販株式会社","2014/10/20","提携サービス：全日信販"
19,"株式会社アルペン","2014/10/20","提携先：アルペン，スポーツデポ，ゴルフ５"
20,"株式会社ワールド","2014/10/20","提携先：HusHusH，SHOO・LA・RUE"
21,"ウエルシアホールディングス株式会社","2014/10/20","提携先：ウエルシア，イレブン，ハートランド"
22,"アートコーポレーション株式会社","2014/10/20","提携先：アート引越センター"
23,"株式会社ユタカファーマシー","2014/10/20","提携先：ドラッグユタカ"
24,"株式会社ミニミニ","2014/10/20","提携先：minimini"
25,"株式会社阪急阪神ホテルズ","2014/10/20","提携先：阪急阪神第一ホテルグループ"
26,"ヤオマサ株式会社","2014/10/20","提携先：ヤオマサ，クイーンズマートヤオマサ，新鮮館おだわら"
27,"株式会社平成エンタープライズ","2014/10/20","提携先：VIPライナー"
28,"株式会社ジェーシー・コムサ","2014/10/20","提携先：上海エクスプレス，NY.NY.，松花堂「円山」，宅配御前菱膳，寿司処　菱膳"
29,"株式会社シーエーセールススタッフ","2014/10/20","提携先：シーエーセールススタッフ"
30,"株式会社マルエツ","2014/10/20","提携先：マルエツ"
31,"株式会社レインズインターナショナル","2014/10/20","提携先：牛角"
32,"東京無線協同組合","2014/10/20","提携先：東京無線"
33,"株式会社大和","2014/10/20","提携先：プラッセだいわ，だいわ"
34,"モバイル・コマース・ソリューション株式会社","2014/10/20","提携サービス：得タク"
35,"株式会社メディカルリソース","2014/10/20","提携先：メディカルリソース"
36,"株式会社ファミリーマート","2014/10/20","提携先：ファミリマート，ファミマ，トモニー"
37,"株式会社ファミマ・ドット・コム","2014/10/20","提携先：famima.com"
38,"株式会社ロッテリア","2014/10/20","提携先：ロッテリア"
39,"株式会社スタイルデザイナー","2014/10/20","提携先：スタイルデザイナー"
40,"パシフィックゴルフマネージメント株式会社","2014/10/20","提携先：パシフィックゴルフマネージメント"
41,"ＲＨトラベラー株式会社","2014/10/20","提携先：RHトラベラー"
42,"伊藤忠エネクス株式会社","2014/10/20","提携先：伊藤忠エネクス"
43,"株式会社オートバックスセブン","2014/10/20","提携先：オートバックス，スーパーオートバックス"
44,"楽天Ｅｄｙ株式会社","2014/10/20","提携先：楽天Edy"
45,"金光薬品株式会社","2014/10/20","提携先：金光薬品"
46,"株式会社やる気スイッチグループホールディングス","2014/10/20","提携先：やる気スイッチグループ"
47,"株式会社カラーズ","2014/10/20","提携先：GREEN DOG"
48,"株式会社オリエントコーポレーション","2014/10/20","提携サービス：オリコ"
49,"株式会社カカクコム","2014/10/20","提携先：yoyaQ，食べログ"
50,"株式会社ニッセン","2014/10/20","提携先：ニッセン"
51,"三井不動産リアルティ株式会社","2014/10/20","提携先：三井のリパーク"
52,"株式会社ドトールコーヒー","2014/10/20","提携先：ドトールコーヒーショップ，エクセルシオール カフェ"
53,"株式会社新生銀行","2014/10/20","提携先：新生銀行"
54,"ＨＯＹＡ株式会社","2014/10/20","提携先：コンタクトのアイシティ"
55,"夢の街創造委員会株式会社","2014/10/20","提携先：出前館"
56,"株式会社琉球銀行","2014/10/20","提携先：琉球銀行"
57,"株式会社毎日新聞社","2014/10/20","提携先：毎日新聞，TAP-ｉ"
58,"株式会社三井不動産ホテルマネジメント","2014/10/20","提携先：三井ガーデンホテルズ"
59,"ソフトバンクモバイル株式会社","2014/10/20","提携先：ソフトバンクモバイル"
60,"ネットオフ株式会社","2014/10/20","提携先：ネットオフ"
61,"ヤフー株式会社","2014/10/20","提携先：Yahoo!ショッピング,Yahoo!トラベル, Yahoo!ゲーム, LOHACO,GyaO!ストアなど"
62,"株式会社マミーマート","2014/10/20","提携先：マミーマート"
63,"富士シティオ株式会社","2014/10/20","提携先：富士シティオ，デリド，フルハウス"
64,"株式会社スリーエフ","2014/10/20","提携先：スリーエフ"
65,"ブリジストンスポーツ株式会社","2014/10/20","提携先：テニスボール（NX1）,ゴルフボール（V10）,ゴルフグローブ（GLTX32・33　など"
66,"日立コンシューマ・マーティング株式会社","2014/10/20","提携先：日立チェーンストール"
67,"株式会社ホテルロッテ","2014/10/20","提携先：ロッテ免税店"
68,"シャディ株式会社","2014/10/20","提携先：シャディサラダ館"
69,"ボシュロム・ジャパン株式会社","2014/10/20","提携先：レニュー"
70,"凸版印刷株式会社","2014/10/20","提携先：Shufoo!"
71,"ＡＡＥ　Ｊａｐａｎ株式会社","2014/10/20","提携先：エクスペディア"
72,"株式会社サイバーエージェント","2014/10/20","提携先：Ameba"
73,"アットホーム株式会社","2014/10/20","提携先：アットホーム"
74,"東芝ライフスタイル株式会社","2014/10/20","提携先：レグザクラウドサービス「TimeOn（タイムオン）」"
75,"株式会社ディスコ","2014/10/20","提携先：キャリタス転職"
76,"しまうまプリントシステム株式会社","2014/10/20","グループ会社：T-PRINT"
77,"株式会社T-MEDIAホールディングス","2014/10/20","グループ会社：TSUTAYAオンラインショッピング，TSUTAYA DISCAS，TSUTAYA TVなど"
78,"株式会社Ｔトラベル","2014/10/20","グループ会社：Tトラベル"
79,"株式会社復刊ドットコム","2014/10/20","グループ会社：復刊ドットコム"
80,"株式会社Tポイント・ジャパン","2014/10/20","グループ会社：ポイントプログラム"
81,"株式会社Tマネー","2014/10/20","グループ会社：Tマネー"
